Provinces Name,Provinces Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Bali, Prop.",ID.BA,Number of people employed,SL.EMP.TOTL,2204874,2259748,2242076,2272632,2324805,2416555,2398307,2490870,..,..
"Bali, Prop.",ID.BA,"Number of people employed in agriculture, forestry and fishery",SL.EMP.AGR.FRST.FSH,556615,578356,547746,528506,520775,506251,466307,501235,..,..
"Bali, Prop.",ID.BA,Number of people employed in construction sector,SL.EMP.CNST,185705,182266,207831,205470,196696,171097,179134,158190,..,..
"Bali, Prop.",ID.BA,Number of people employed in electricity and utilities sector,SL.EMP.ELC,6859,6407,8880,7935,6575,4702,6248,11743,..,..
"Bali, Prop.",ID.BA,Number of people employed in financial services sector,SL.EMP.FINS,83281,82655,89991,82431,92546,109977,99784,122081,..,..
"Bali, Prop.",ID.BA,Number of people employed in industrial sector,SL.EMP.IND,290132,307485,312858,316598,287534,370531,341221,364685,..,..
"Bali, Prop.",ID.BA,Number of people employed in mining and quarrying sector,SL.EMP.MINQ,12635,7546,8918,9666,8597,1252,6536,6073,..,..
"Bali, Prop.",ID.BA,Number of people employed in social services sector,SL.EMP.SOCL,391376,389686,378358,393056,368535,433377,444422,426465,..,..
"Bali, Prop.",ID.BA,"Number of people employed in trade, hotel and restaurant sector",SL.EMP.TRAD,596527,620282,616613,658312,768075,728757,760093,820638,..,..
"Bali, Prop.",ID.BA,Number of people employed in transportation and telecommunication sector,SL.EMP.TRAN,81744,85065,70881,70658,75472,90611,94562,79760,..,..
"Bali, Prop.",ID.BA,Number of people in labor force,SL.TLF,2257258,2307748,2283896,2316758,2372015,2463039,2434450,2525727,..,..
"Bali, Prop.",ID.BA,Number of people live below the poverty line (in number of people),SI.POV.BPL,166230,168800,182800,195954,196710,178180,180130,171760,..,..
"Bali, Prop.",ID.BA,Number of people underemployed,SL.EMP.UNDR,519827,505471,607642,513334,479037,512816,550541,583676,..,..
"Bali, Prop.",ID.BA,Number of people unemployed,SL.UEM.TOTL,52384,48000,41820,44126,47210,46484,36143,34857,..,..
"Banten, Prop.",ID.BT,Number of people employed,SL.EMP.TOTL,4529660,4688423,4687626,4853992,4825460,5088497,5077400,5332496,..,..
"Banten, Prop.",ID.BT,"Number of people employed in agriculture, forestry and fishery",SL.EMP.AGR.FRST.FSH,630122,605484,726880,604998,628047,706126,675738,704057,..,..
"Banten, Prop.",ID.BT,Number of people employed in construction sector,SL.EMP.CNST,231911,238141,244250,277458,286995,447788,285594,348997,..,..
"Banten, Prop.",ID.BT,Number of people employed in electricity and utilities sector,SL.EMP.ELC,18050,15953,15500,23758,23419,32475,20871,72016,..,..
"Banten, Prop.",ID.BT,Number of people employed in financial services sector,SL.EMP.FINS,201536,221861,248908,230777,284122,318114,332922,350084,..,..
"Banten, Prop.",ID.BT,Number of people employed in industrial sector,SL.EMP.IND,1140427,1213112,1187936,1273015,1198766,1116989,1246230,1267797,..,..
"Banten, Prop.",ID.BT,Number of people employed in mining and quarrying sector,SL.EMP.MINQ,62908,59356,49477,67720,29998,8641,37392,25039,..,..
"Banten, Prop.",ID.BT,Number of people employed in social services sector,SL.EMP.SOCL,830535,889871,794299,885348,824992,925978,900185,790717,..,..
"Banten, Prop.",ID.BT,"Number of people employed in trade, hotel and restaurant sector",SL.EMP.TRAD,1118385,1146428,1110284,1155449,1189908,1207701,1203637,1341698,..,..
"Banten, Prop.",ID.BT,Number of people employed in transportation and telecommunication sector,SL.EMP.TRAN,295786,298217,310092,335469,359213,324685,374831,432091,..,..
"Banten, Prop.",ID.BT,Number of people in labor force,SL.TLF,5210224,5199564,5181796,5338045,5334843,5587093,5596963,5831157,..,..
"Banten, Prop.",ID.BT,Number of people live below the poverty line (in number of people),SI.POV.BPL,690490,652800,677500,649188,702400,658110,675040,661360,..,..
"Banten, Prop.",ID.BT,Number of people underemployed,SL.EMP.UNDR,883658,876632,939783,991184,886451,936626,864071,974999,..,..
"Banten, Prop.",ID.BT,Number of people unemployed,SL.UEM.TOTL,680564,511141,494170,484053,509383,498596,519563,498661,..,..
"Bengkulu, Prop.",ID.BE,Number of people employed,SL.EMP.TOTL,873719,859858,832048,868794,904317,964971,932976,963463,..,..
"Bengkulu, Prop.",ID.BE,"Number of people employed in agriculture, forestry and fishery",SL.EMP.AGR.FRST.FSH,456467,454203,436481,439778,490218,408667,458715,474705,..,..
"Bengkulu, Prop.",ID.BE,Number of people employed in construction sector,SL.EMP.CNST,43567,42520,38407,41582,42425,51408,53292,50766,..,..
"Bengkulu, Prop.",ID.BE,Number of people employed in electricity and utilities sector,SL.EMP.ELC,2828,1722,1354,3168,1581,..,2333,8321,..,..
"Bengkulu, Prop.",ID.BE,Number of people employed in financial services sector,SL.EMP.FINS,14795,12461,16817,13199,17430,15987,16335,18453,..,..
"Bengkulu, Prop.",ID.BE,Number of people employed in industrial sector,SL.EMP.IND,25323,34975,25570,26992,35461,50130,48474,52647,..,..
"Bengkulu, Prop.",ID.BE,Number of people employed in mining and quarrying sector,SL.EMP.MINQ,9480,7701,9881,9864,11262,18450,13731,15270,..,..
"Bengkulu, Prop.",ID.BE,Number of people employed in social services sector,SL.EMP.SOCL,133988,133842,139328,157098,151522,206197,155059,131870,..,..
"Bengkulu, Prop.",ID.BE,"Number of people employed in trade, hotel and restaurant sector",SL.EMP.TRAD,161061,147959,142658,149330,131142,186429,159496,185185,..,..
"Bengkulu, Prop.",ID.BE,Number of people employed in transportation and telecommunication sector,SL.EMP.TRAN,26210,24475,21552,27783,23276,27703,25541,26246,..,..
"Bengkulu, Prop.",ID.BE,Number of people in labor force,SL.TLF,894934,891635,872233,900054,951007,997913,969255,998524,..,..
"Bengkulu, Prop.",ID.BE,Number of people live below the poverty line (in number of people),SI.POV.BPL,303600,311700,323500,316500,334070,328610,316980,301810,..,..
