Laps,Time,Cumulative Time,Distance,Avg Pace,Avg HR,Max HR,Elev Gain,Elev Loss,Avg Run Cadence,Avg Stride Length,Calories,Best Pace,Max Run Cadence,Moving Time,Avg Moving Pace
1,20:34,20:34,3.42,6:01,146,179,30,33,176,94,204,5:12,184,20:33,6:01
2,1:00,21:34,0.23,4:16,148,159,0,3,180,130,10,4:06,184,1:00,4:16
3,1:00,22:34,0.12,8:37,149,158,3,0,128,91,10,4:07,182,1:00,8:37
4,1:00,23:34,0.24,4:11,146,163,7,0,170,140,8,3:42,186,1:00,4:11
5,1:00,24:34,0.11,8:59,136,159,3,0,128,87,8,3:59,186,1:00,8:59
6,1:00,25:34,0.24,4:08,138,153,0,5,174,139,7,3:46,182,1:00,4:08
7,1:00,26:34,0.11,9:09,149,159,0,0,134,82,9,4:11,180,1:00,9:09
8,1:00,27:34,0.24,4:07,145,160,0,5,180,135,8,4:02,184,1:00,4:07
9,1:00,28:34,0.11,8:42,150,165,0,0,132,87,9,4:14,178,1:00,8:42
10,1:00,29:34,0.25,4:05,153,163,3,2,174,141,10,3:45,180,1:00,4:05
11,1:00,30:34,0.11,9:01,158,165,4,0,136,82,10,4:09,176,1:00,9:01
12,1:00,31:34,0.24,4:09,159,170,5,0,178,135,10,3:59,184,1:00,4:09
13,1:00,32:34,0.12,8:15,162,167,0,0,126,96,11,4:00,184,1:00,8:15
14,1:00,33:34,0.24,4:06,160,178,0,7,172,142,10,3:47,182,1:00,4:06
15,1:00,34:34,0.11,8:48,158,174,3,4,130,87,10,3:57,182,1:00,8:48
16,1:00,35:34,0.24,4:07,155,167,0,3,172,141,10,3:58,182,1:00,4:07
17,1:00,36:34,0.12,8:08,153,166,0,3,130,95,10,4:06,178,1:00,8:08
18,1:00,37:34,0.24,4:07,151,168,10,0,178,136,8,3:40,182,1:00,4:07
19,1:00,38:34,0.12,8:35,159,177,0,0,122,95,10,4:02,178,1:00,8:36
20,1:00,39:34,0.25,4:01,158,169,3,0,174,143,10,3:46,182,1:00,4:01
21,1:00,40:34,0.11,8:47,159,167,0,3,132,86,10,5:35,176,1:00,8:47
22,1:00,41:34,0.24,4:05,157,171,4,3,174,141,10,4:02,182,1:00,4:05
23,1:00,42:34,0.12,8:42,165,182,0,7,152,76,11,4:05,180,1:00,8:42
24,1:00,43:34,0.25,4:01,158,167,0,3,180,139,10,3:45,184,1:00,4:01
25,1:00,44:34,0.12,8:40,154,167,3,0,124,93,10,3:59,176,1:00,8:40
26,1:00,45:34,0.24,4:07,150,173,5,0,174,140,7,3:58,182,1:00,4:07
27,1:00,46:34,0.11,8:51,149,173,4,0,128,88,9,4:01,178,1:00,8:51
28,1:00,47:34,0.24,4:09,153,165,0,4,174,139,9,3:57,180,1:00,4:09
29,1:00,48:34,0.12,8:08,158,164,3,3,122,101,10,4:08,180,1:00,8:08
30,1:00,49:34,0.25,4:04,155,167,0,5,172,143,9,3:44,184,1:00,4:04
31,1:00,50:34,0.11,8:48,158,166,0,1,130,87,10,3:58,182,1:00,8:48
32,1:00,51:34,0.24,4:07,155,165,5,3,180,135,9,3:56,182,1:00,4:07
33,1:00,52:34,0.11,9:11,159,165,5,0,130,84,10,4:10,178,1:00,9:11
34,1:00,53:34,0.25,4:05,157,173,3,0,172,142,9,4:02,182,1:00,4:05
35,1:00,54:34,0.12,8:25,163,172,1,0,130,91,11,4:03,182,1:00,8:25
36,1:00,55:34,0.25,4:04,166,181,0,4,174,141,11,3:51,184,1:00,4:04
37,03:02.1,58:36,0.35,8:45,146,173,0,5,124,92,23,4:35,184,3:00,8:39
38,10:02,1:08:39,2.15,4:40,168,181,29,15,180,119,114,3:59,186,10:02,4:39
39,21:28,1:30:07,3.67,5:51,154,173,23,35,174,98,187,4:43,182,21:26,5:51
